package_name,version,application_type,Category
QNAP Qsync,4.3.10.0414,Utility,File Synchronization
QNAP QVR Client ,5.1.5.20092,Utility,Office Productivity
Xara All Web Templates,dl. 2021-03-25,Template,Office Productivity
Xara Designer Pro X365,dl. 2021-03-25,Design Suite,CAD / Engineering Tools
QNAP SMI-S Provider,2.2.2.8,Utility,Office Productivity
QNAP Snapshot Agent,2_0_146,Utility,Office Productivity
QNAP Qfinder Pro,6.8.0.1411,Utility,Office Productivity
QNAP Qsync ,4.3.9.1302,Utility,File Synchronization
QNAP Qfinder Pro,6.7.0.1107,Utility,Office Productivity
NatBak Replicator ,4.5.12.1108,Utility,Office Productivity
NetBak Replicator (msi),4.5.12.1108,Utility,Office Productivity
QNAP Qsync ,4.3.8.1009,Utility,File Synchronization
QNAP Qsync (msi),4.3.8.1009,Utility,File Synchronization
QNAP Qfinder Pro,6.6.8.0919,Utility,Office Productivity
QENC Decrypter,1.0.0.19224,Utility,Office Productivity
NetBak Replicator,4.5.11.0816,Utility,Office Productivity
NetBak Replicator (msi),4.5.11.0816,Utility,Office Productivity
QNAP Qsync ,4.3.7.0726,Utility,File Synchronization
QNAP Qsync (msi),4.3.7.0726,Utility,File Synchronization
QNAP Qsync,4.3.6.0704,Utility,File Synchronization
QNAP Qsync (msi),4.3.6.0704,Utility,File Synchronization
NetBak Replicator,4.5.10.0627,Utility,Office Productivity
NetBak Replicator (msi),4.5.10.0627,Utility,Office Productivity
NetBak Replicator,4.5.9.0529,Utility,Office Productivity
NetBak Replicator (msi),4.5.9.0529,Utility,Office Productivity
QNAP Qfinder Pro,6.6.7.0613,Utility,Office Productivity
QNAP Qsync ,4.3.5.0528,Utility,File Synchronization
QNAP Qsync (msi),4.3.5.0528,Utility,File Synchronization
QNAP Qfinder Pro,6.6.6.0522,Utility,Office Productivity
QNAP SMI-S Provider,1.4.045,Utility,Office Productivity
QNAP Qsync,4.3.4.0416,Utility,File Synchronization
QNAP Qsync (msi),4.3.4.0416,Utility,File Synchronization
QNAP Qsync,4.3.3.1507,Utility,File Synchronization
QNAP Qsync (msi),4.3.3.1507,Utility,File Synchronization
QNAP Qfinder Pro,6.6.5.0227,Utility,Office Productivity
NetBak Replicator,4.5.8.1413,Utility,Office Productivity
NetBak Replicator (msi),4.5.8.1413,Utility,Office Productivity
QNAP Qfinder Pro,6.6.4.0213,Utility,Office Productivity
QNAP Qfinder Pro,6.6.3.0116,Utility,Office Productivity
QNAP Qfinder Pro,6.6.2.1218,Utility,Office Productivity
QNAP Qsync,4.3.2.1214,Utility,File Synchronization
QNAP Qsync (msi),4.3.2.1214,Utility,File Synchronization
PDFelement ,8.0.23,pdf creation,Office Productivity
