package_name,version,application_type,Category
Microsoft FoxPro,2.5,Software,Office Productivity
Microsoft Bookshelf '94 Multimedia Reference Library,1994,Reference Library,Educational Software
After Dark,Version 2.0,Screen Saver,Kiosk / Public Access Software
EarthSiege 2,2,Game,Kiosk / Public Access Software
Adobe Persuasion,3.0,Presentation,Office Productivity
Adobe Persuasion QuickTime for Windows,3.0,Presentation,Office Productivity
Memphis Math: The Treasure of the Tombs,7.26.95,Educational,Educational Software
"DOS, HP Explorer, & MS Windows HP LaserJet 4 Software",A1A,Printing Software,Office Productivity
MSDN Disc 2465,October 2003,MSDN Library,Educational Software
MSDN Disc 2220,June 2003,MSDN Library,Educational Software
Visio Professional,5.0,diagramming,Office Productivity
V_Graph,1996,Java,Development Tools
Pacific Page,1989,Demonstration,Training Tools
Microsoft Internet Explorer,Version 4.0,Internet,Web Browser
Web Reporting with Dynalivery,Version 3.0,Web reporting,Office Productivity
MS Windows PCL Driver,31.V1.26,Printer Driver,Office Productivity
MS Windows,3.53,Printer Driver,Office Productivity
Corel Painter 8,2003,Design,CAD / Engineering Tools
X Vision X and Microsoft Windows- No longer worlds apart,4.10,Applications,Office Productivity
Etherlink The Connection for shared peripherals information access and personal communication,1984-1985,Applications,Communication Tools
WordPerfect Presentations,Version 2.0,Presentation,Remote Access Tools
Word Perfect Dos Magazine Disk of the Month,January-December 1995,Word Processor,Office Productivity
Word Perfect Dos Magazine Disk of the Month,January-December 1996,Word Processor,Office Productivity
ProDesigner II VGA,1990,Utility,Office Productivity
DataFile Medical Examiner Plug-In,2004,Applications,Office Productivity
Wave Blaster High-end MIDI Subsystem for Sound Blaster 16,1991-1992,audio,Office Productivity
Cakewalk Apprentice for Windows,1991-1992,audio,Office Productivity
System CD,1.5,System cd,Office Productivity
Gateway Telepath 28.8 Modem Driver and Configuration,28.8,Configuration,Office Productivity
CompuServe Information Manager for Windows,2.0.1,Information Manager,Data Science Tools
System CD,1.7,System cd,Office Productivity
Jaz Install Windows/DOS ,3.04,Installation disk,Office Productivity
Microsoft Office Professional & Bookshelf,4.0,Office Suite,Office Productivity
Central Point Backup for Windows,7,Backup,System Administration Tools
The Norton Antivirus for Windows & DOS,3.0,Antivirus,Security Monitoring Tools
The Norton Antivirus for Windows & DOS Rescue Disk,1993,Antivirus,Security Monitoring Tools
Aluria Software Spyware Eliminator,none,antispyware,Office Productivity
HP LaserJet 4 Plus Printing System,31.V1.30,Printing System,Office Productivity
STEALTH 24,1.00,System Software,System Administration Tools
Microsoft French,2004,Antivirus,Security Monitoring Tools
Microsoft Italian,2004,Antivirus,Security Monitoring Tools
Microsoft Japanese,2004,Antivirus,Security Monitoring Tools
Office Standard,4.2,Word Processor,Office Productivity
Lotus Notes Client,3.30,Client,Remote Access Tools
KEYview,4.2,Web Utility,Office Productivity
Commander Keen Goodbye Galaxy,1992,Game,Kiosk / Public Access Software
Stealth 64 Video Windows v3.1 Drivers,2.12,System Software,System Administration Tools
Xtreme Boarders,2004,"Game,Videogame",Kiosk / Public Access Software
DPDEMO PLUS,2.1,Database,Database Tools
WordPerfect 5.1 Demonstration,1989,Word Processor,Remote Access Tools
GATEWAY 2000 ATI Local Bus ULTRA PRO,1.5,LAN,Remote Access Tools
MS Windows Drivers for the HP LaserJet 4 Printer,NONE,System Software,System Administration Tools
QAPlus GATEWAY2000 Edution,1992,Diagnostic,System Administration Tools
EasyFlow HavenTree Software,1989,Flow Chart,CAD / Engineering Tools
Interactive EasyFlow,1986,Flow Chart,CAD / Engineering Tools
Spindrift Fortran,1.20,Programming Language,Office Productivity
COMPUDYNE 1024/N-I Utility/Driver,1.0,Utilities and Drivers,Office Productivity
MouseWare Utilities Version 6.20,6.20,Utility,Office Productivity
RAPIDFILE 1.2,1.2,Demonstration,Training Tools
zip install DOS/Win/Win95,1995,Operating System,System Administration Tools
Intel EtherExpress PRO/10 LAN Adapter Configuration and Driver Diskette,2.0,Configuration,Office Productivity
Microsoft Windows,1992,Operating System,System Administration Tools
Microsoft QuickBASIC,4.5,IDE,Development Tools
Expert Home Design for Windows,1994,Home Design,CAD / Engineering Tools
guitar workshop,1.0,Music,Office Productivity
Microsoft Windows,3.1,Operating System,System Administration Tools
DriverPack Solution,2018,Drivers and Utilities,System Administration Tools
Microsoft Word for Windows,2.0,Word Processor,Office Productivity
Microsoft PowerPoint,3.0,Presentation,Office Productivity
VMWare Fusion,Version 1.0,Virtual Machine installs,Virtualization Tools
TurboTax Basic Tax Year 2003 Federal Return for Windows,Version 03.00 R,Tax,Office Productivity
Microsoft Excel for Windows,4.0,Spreadsheet,Office Productivity
Instant Immersion Japanese Deluxe 2.0,2007,Language tutorial,Build Tools
Bookshelf '94,1987-1994,Multimedia,Office Productivity
COLD FUSION application server 3.1,9/97,application server,Office Productivity
Approve It,4.01,Software,Office Productivity
CodeWarrior for Palm OS Platform,7.0,Palm Computing Software,Office Productivity
PGP Personal Security,2001,Security,Office Productivity
Fallout 3,2008,"Game,Videogame",Kiosk / Public Access Software
ESET NOD32 Antivirus 4,4,Antivirus,Security Monitoring Tools
Oracle Pure Name & Address (Canada),July 2000,Data,Database Tools
Check IT Netbook Utitity Suite,2009,Utility Suite,Office Productivity
Kaspersky Security for Ultra Portables,2009,Internet Security,Security Monitoring Tools
Family Tree Maker 2010 Essentials,1.0,Family tree maker,Office Productivity
Mdd,1.3,Forensic,Digital Forensics Tools
Fraps,3.5.99,screen capture,Office Productivity
Fraps,3.4.7,screen capture,Office Productivity
BatteryBar Pro,3.6.6,Power,Office Productivity
Postbox ,5,E-mail,Communication Tools
VirtualBox,5.1.22,virtualization,Virtualization Tools
The Sims 3 Ambitions,2010,"Game,Videogame",Kiosk / Public Access Software
Sid Meier's Civilization V,2010,"Game,Videogame",Kiosk / Public Access Software
BleachBit,1.6,Disk Manager,Office Productivity
AVG Rescue CD,120.141126,Utilities and Drivers,Office Productivity
Vista Manager,4.1.6,Maintenance,System Administration Tools
Defraggler,2.18.945,Utility,Office Productivity
Clean Master for PC,2014.10.13.681,Maintenance,System Administration Tools
Windows 7 Manager,5.0.5,Maintenance,System Administration Tools
Malwarebytes,2.0.4.1028,anti malware,Office Productivity
Windows 8 Manager,2.2.0,Maintenance,System Administration Tools
WinXP Manager,8.0.1,Maintenance,System Administration Tools
The PC Decrapifier,3.0.0,Disk Manager,Office Productivity
Trinity Rescue Kit,3.4,recovery,System Administration Tools
Redo Backup and Recovery,1.0.4,Backup,System Administration Tools
SystemRescueCD,4.5.1,recovery,System Administration Tools
MATLAB & Simulink for Student Use,R2015a,Modeling Software,CAD / Engineering Tools
Kaspersky WindowsUnlocker 10,10,recovery,System Administration Tools
Cloudfogger,1.4.2160,cloud,Office Productivity
Vipre Internet Security 2014,2014,Internet Security,Security Monitoring Tools
Braina,1.2,Speech Recognition,Office Productivity
IObit Malware Fighter,3.0.2.29,anti malware,Office Productivity
IPVanish,2015,vpn,VPN Client
Windows 10 Technical Preview,March 2015,Operating System,System Administration Tools
Anthologies of War Deluxe Collection,2014,Game,Kiosk / Public Access Software
Mega Tycoon- Giant Pack ,2015,Game,Build Tools
LastPass,3.1.95,Security,Office Productivity
Kepard,1.0.7.0,vpn,VPN Client
Macrium Reflect Free,5.3.7299,Backup,System Administration Tools
Kingo Root,2015,Utility,Office Productivity
Malwarebytes Anti-Malware,2.1.6.1022,Security,Office Productivity
Mozy Sync,1.3,Backup,System Administration Tools
Norman Malware Cleaner,2.08.08,anti malware,Office Productivity
Panda Gold Protection 2015,2015,Anti Virus,Security Monitoring Tools
OpenVPN,2.4,vpn,VPN Client
PowerArchiver,2015 15.02.04,compression,Office Productivity
PeerBlock,1.2 r693,Security,Office Productivity
PDF Annotator,5.0.0.508,pdf creation,Office Productivity
SlimComputer,1.3.30878,Uninstaller,Office Productivity
SMS-it,3.9.0,Messenger,Communication Tools
Start Menu 8,5.45,Utility,Office Productivity
SyncBackFree,7.3.1.29,Backup,System Administration Tools
Tor Browser,4.5.1,privacy tool,Web Browser
TorChat,0.9.9.553,Messenger,Communication Tools
TunnelBear,2.5,Internet,Remote Access Tools
TunnelBear,2.3.14,Internet,Remote Access Tools
Adobe Reader 9.2,9.2,pdf creation,Office Productivity
Adobe Reader 9.0,9.0,pdf creation,Office Productivity
Brother HL-2170W,HL-2170W,System Software,System Administration Tools
YouTube Downloader HD,2.9.9.23,Video,Office Productivity
Video Booth, 2.6.7.8,Photo-Imaging tool,Office Productivity
Filmora Video Editor,dl. 2015-06-26,video editing,Office Productivity
Internet Explorer 8 on Windows 7,Bld # 20141027,Virtual Machine installs,Virtualization Tools
Internet Explorer 10 on Windows 7,Bld # 20141027,Virtual Machine installs,Virtualization Tools
Internet Explorer 9 on Windows 7,Bld # 20141027,Virtual Machine installs,Virtualization Tools
Internet Explorer 11 on Windows 7,Bld # 20141027,Virtual Machine installs,Virtualization Tools
Microsoft Edge on Windows 10,Bld # 20150801,Virtual Machine installs,Virtualization Tools
Internet Explorer 11 on Windows 8.1,Bld # 20141027,Virtual Machine installs,Virtualization Tools
Internet Explorer 10 on Windows 8,Bld # 20141027,Virtual Machine installs,Virtualization Tools
Media Composer 8.4.4,2015,Multimedia,Office Productivity
Sorenson Squeeze Pro 10 Trial,2015,Multimedia,Office Productivity
iZotope Insight 1.03 Trial,2015,Multimedia,Office Productivity
NewBlue Titler Pro 2 for Avid,2015,Multimedia,Office Productivity
Starry Night High School 7,2015,Educational,Educational Software
EventTracker 72_B38,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 71_b16,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 72_B64,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 6,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 73_B28,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 71_B53,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 72_B60,2015-12-17,Configuration & Management,System Administration Tools
EventTracker LogManager,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 72_B69,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 73_44,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 7_B34,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 74_B28,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 73_B59,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 74_25,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 74_30,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 76B26,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 80B19,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 7,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 75B53,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 75B29,2015-12-17,Configuration & Management,System Administration Tools
EventTracker 76B21,2015-12-17,Configuration & Management,System Administration Tools
Microsoft Monthly Security Update,November 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,July 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,September 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,June 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,April 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,August 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,May 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,January 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update - Security Release ISO Image,October 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update - Security Release ISO Image,February 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update - Security Release ISO Image,March 2015,Operating System,System Administration Tools
Microsoft Monthly Security Update,September 2013,Operating System,System Administration Tools
Microsoft Monthly Security Update,July 2013,Operating System,System Administration Tools
Microsoft Monthly Security Update,August 2013,Operating System,System Administration Tools
Microsoft Monthly Security Update,April 2014,Operating System,System Administration Tools
Microsoft Monthly Security Update,January 2013,Operating System,System Administration Tools
Microsoft Monthly Security Update,May 2014,Operating System,System Administration Tools
Microsoft Monthly Security Update,November 2014,Operating System,System Administration Tools
Microsoft Monthly Security Update,December 2014,Operating System,System Administration Tools
Microsoft Monthly Security Update,February 2013,Operating System,System Administration Tools
Microsoft Monthly Security Update,May 2013,Operating System,System Administration Tools
Microsoft Monthly Security Update,January 2012,Operating System,System Administration Tools
Microsoft Monthly Security Update,November 2012,Operating System,System Administration Tools
Microsoft Monthly Security Update,September 2011,Operating System,System Administration Tools
Microsoft Monthly Security Update,December 2012,Operating System,System Administration Tools
Microsoft Monthly Security Update,February 2012,Operating System,System Administration Tools
Microsoft Monthly Security Update,June 2011,Operating System,System Administration Tools
Microsoft Monthly Security Update,November 2011,Operating System,System Administration Tools
Microsoft Monthly Security Update,December 2011,Operating System,System Administration Tools
Microsoft Monthly Security Update,October 2011,Operating System,System Administration Tools
Flash Player 20 for Opera and Chromium PPAPI,2016,Video,Web Browser
Flash Player 20 for Firefox NPAPI,d. 2016-01-20,Video,Web Browser
Flash Player 20 for Internet Explorer ActiveX,d. 2016-01-20,Video,Web Browser
Flash Player 20 for Opera and Chromium PPAPI,d. 2016-01-20,Video,Web Browser
iTunes 12.3.2 for Windows 7 32-bit,12.3.2,Multimedia,Office Productivity
VLC for Windows,2.2.1,Media Player,Office Productivity
Chrome for Windows 32-bit,d.2016-01-21,Web Browser,Web Browser
Chrome for Windows 64-bit,d.2016-01-21,Web Browser,Web Browser
VirtualBox 5.0.14 for Windows,v. 5.0.14,Virtual Machine installs,Virtualization Tools
Apache OpenOffice,v. 4.1.2,Office Suite,Office Productivity
Hancom Office 2014 VP,d.2016-01-21,Office Suite,Office Productivity
Miro Video Converter,d.2016-01-21,Video,Office Productivity
Miro Video Player,v. 6.0,Media Player,Office Productivity
intuit TurboTax Premier,2015,Applications,Office Productivity
intuit TurboTax Deluxe,2015,File Management,Office Productivity
TurboTax Home & Business 2015,2015,Accounting,Financial Software
QuickBooks Desktop Pro 2016,2015,Accounting,Financial Software
iTunes 12.1.3 for Windows (64-bit),12.1.3 ,Media Player,Office Productivity
TC2000,16,stock market,Office Productivity
TC2000,12.6,stock market,Office Productivity
Spotify Installer for Windows,d.2016-01-21,music streaming,Data Science Tools
ImageUSB,v. 1.2.1006,Forensic,Digital Forensics Tools
OSFMount 64-bit,v. 1.5.1015,Forensic,Digital Forensics Tools
OSFMount 32-bit,v. 1.5.1015,Forensic,Digital Forensics Tools
Fallout 4,2015,"Game,Videogame",Kiosk / Public Access Software
BlackLight,2015 R3.1,Forensic Toolkit,Digital Forensics Tools
Mobilyze,2015 R1,Forensic,Digital Forensics Tools
Firefox,46.0.1,Web Browser,Web Browser
Firefox,46.0,internet browser,Web Browser
"McAfee AntiVirus Plus, Trusted anti-virus for every device you own",2015,Anti Virus,Security Monitoring Tools
Windows 10 32-bit,10,Operating System,System Administration Tools
Windows 10 64-bit ,10,Operating System,System Administration Tools
Java Runtime Environment i586,8 Update 91,Java,Development Tools
Java Runtime Environment for Windows Offline i586 and x86 Browsers,8 Update 91,Java,Web Browser
McAfee AntiVirus For 1 PC,2016,Anti Virus,Security Monitoring Tools
McAfee Internet Security For 1 PC,2014,Internet Security,Security Monitoring Tools
Core Java 1.1 Volume 1: Fundamentals,c. 1997,Java,Development Tools
Adobe Photoshop Lightroom 6,2015,CD-ROM Magazine,Office Productivity
Adobe Photoshop Elements and Adobe Premiere Elements,14,Editor,Office Productivity
QuickBooks Premier 2016 Small Business Accounting Software with Industry Editions,2016,Accounting,Financial Software
Java Runtime Environment Offline Installation,SE 6 update 17,Java,Development Tools
JAVA SE Runtime Environment Windows Online Installation ,SE 6 update 17,Java,Development Tools
JAVA SE Runtime Environment Windows Kernel Installation ,SE 6 update 17,Java,Development Tools
Amazon Games and Software Downloader,dl. 2017-04-24,download manager,Office Productivity
Java Runtime Environment,SE 6 update 17,Java,Development Tools
QuickBooks Premier 2016 Small Business Accounting Software with Industry Editions,c. 2016,Accounting,Financial Software
Amazon Games & Software Downloader,dl.5-24-2016,Game,Kiosk / Public Access Software
Java SE Runtime Environment for windows ia64,SE 6 update 17,Java,Development Tools
Firefox,47.0,Web Browser,Web Browser
Java SE Development Kit i586,SE 6 Update17,Java,Development Tools
Java SE 6 Development Kit  ,SE 6 Update 17,Java,Development Tools
Java Development Kit ia64,SE 6 update 17,Java,Development Tools
Microsoft Windows 10 Pro Full Version,2015,Installation tools,System Administration Tools
Microsoft Windows 10 Home Full Verison,c. 2015,Customer Support,CRM Systems
Farcry Primal,c. 2016,Game,Kiosk / Public Access Software
Tom Clancy's The Division,c. 2016,Game,Kiosk / Public Access Software
The Witcher: Wild Hunt,3,Game,Kiosk / Public Access Software
TurboTax Deluxe: Federal & State Returns Tax Year 2015,1500R,Tax,Office Productivity
American Truck Simulator: California,c. 2016,Game,Kiosk / Public Access Software
DOOM,2016,"Game,Videogame",Kiosk / Public Access Software
QuickBooks Small Business Accounting Pro 2016,2015,Accounting,Financial Software
True Image,2016,Backup and Recovery,System Administration Tools
Descriptions Now,not specific,Management,Office Productivity
Windows 10 System Recovery Disk,4,system recovery,System Administration Tools
The Witcher: Wild Hunt Complete Edition,3,Game,Kiosk / Public Access Software
Acronis True Image for 1 Computer,2016,Backup and Recovery,System Administration Tools
Acronis True Image for 3 Computers,2016,Backup and Recovery,System Administration Tools
SmartScore X2,v. 10.5.8,Audio Editing,Office Productivity
Manga Studio 5 EX,c. 2013,Design,CAD / Engineering Tools
QuickBooks Desktop Pro 2017 Small Business Accounting,2016,Accounting,Financial Software
Quickbooks Desktop Payroll 2017 Small Business Accounting Payroll Enhanced,2016,Accounting,Financial Software
Quickbooks Desktop Premier 2017 Small Business Accounting,2016,Accounting,Financial Software
WordPerfect Office X8,2016,Analysis,Remote Access Tools
Farming Simulator,17,"Game,Videogame",Kiosk / Public Access Software
Dishonored 2 Limited Edition,2016,"Game,Videogame",Kiosk / Public Access Software
Sid Meier's Civilization VI,2016,"Game,Videogame",Kiosk / Public Access Software
Overwatch Origins Edition,2016,Game,Scientific / Research Software
Dishonored 2 Collector's Edition,2016,Game,Kiosk / Public Access Software
World of Warcraft Legion,2016,Game,Kiosk / Public Access Software
Cygnus Hex Editor,1.00,hex editor,Office Productivity
VNC Open,4.0,Server,Remote Access Tools
Cumulative Update for Windows 10 (KB3205383),"Dec. 10, 2016",Security,Office Productivity
Cumulative Update for Windows 10 for x64-based Systems (KB3205383),"Dec. 10, 2016",Operating System,System Administration Tools
Cumulative Update for Windows 10 Version 1607 for x64-based Systems (KB3213986),1607,Operating System,System Administration Tools
Cumulative Update for Windows 10 (KB3213986) ,1607,Security,Office Productivity
Security Update for Windows Server 2008 (KB3216775),1.0,Security,Office Productivity
Security Update for Windows Vista (KB3216775),"Jan. 08, 2017",Operating System,System Administration Tools
Security Update for Windows Server 2008 for x64-based Systems (KB3216775),revision 1.0,Security,Office Productivity
Security Update for Windows Server 2008 for Itanium-based Systems (KB3216775),1.0,Security,Office Productivity
Security Update for Windows Vista for x64-based Systems (KB3216775),1.0,Security,Office Productivity
"January, 2017 Security Only Quality Update for Windows Embedded Standard 7 for x64-based Systems (KB3212642)",1.0,Security,Office Productivity
"January, 2017 Security Only Quality Update for Windows 7 for x64-based Systems (KB3212642)",1.0,Security,Office Productivity
"January, 2017 Security Only Quality Update for Windows Server 2008 R2 for Itanium-based Systems (KB3212642)",1.0,Security,Office Productivity
"January, 2017 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB3212642)",1.0,Security,Office Productivity
"January, 2017 Security Only Quality Update for Windows 7 (KB3212642)",1.0,Security,Office Productivity
"January, 2017 Security Monthly Quality Rollup for Windows Embedded Standard 7 for x64-based Systems (KB3212646)",1.0,Security,Office Productivity
"January, 2017 Security Monthly Quality Rollup for Windows Server 2008 R2 for Itanium-based Systems (KB3212646)",1.0,Security,Office Productivity
"January, 2017 Security Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB3212646)",1.0,Security,Office Productivity
"January, 2017 Security Monthly Quality Rollup for Windows 7 for x64-based Systems (KB3212646)",1.0,Security,Office Productivity
"January, 2017 Security Monthly Quality Rollup for Windows 7 (KB3212646)",January 2017,Security,Office Productivity
Security Update for Adobe Flash Player for Windows 10  (for x64-based Systems) (KB3214628),1511,Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 8.1 for x64-based Systems (KB3214628),"Jan. 8, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows Server 2012 (KB3214628),"Jan. 8, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 8.1 (KB3214628),"Jan. 8, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows Server 2012 R2 (KB3214628),"Jan. 8, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 10 Version 1607 (for x64-based Systems) (KB3214628),1607,Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 10 Version 1607 (KB3214628),"Jan. 7, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 10 (KB3214628),1511,Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 10 (KB3214628),"Jan. 7, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows 10 (for x64-based Systems) (KB3214628),"Jan. 7, 2017",Security,Data Science Tools
Windows 10 Pro,1607,Operating System,System Administration Tools
Security Update for Microsoft Word 2016 (KB3128057) 32-Bit Edition,1.0,Security,Office Productivity
Security Update for Microsoft Word 2016 (KB3128057) 64-Bit Edition,1.0,Operating System,Office Productivity
Security Update for Microsoft SharePoint Enterprise Server 2016 (KB3141486),1.0,Operating System,System Administration Tools
Cumulative Update for Windows 10 (KB3210720),"Jan. 6, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 for x64-based Systems (KB3210720),"Jan 6, 2017",Operating System,System Administration Tools
Cumulative Update for Windows 10 Version 1511 (KB3210721),1511,Security,Office Productivity
Cumulative Update for Windows 10 for x64-based Systems (KB3210721),1511,Operating System,System Administration Tools
Cumulative Update for Windows 10 for x64-based Systems (KB3213986) ,1607,Operating System,System Administration Tools
Cumulative Update for Windows 10 (KB3213986),1607,Operating System,System Administration Tools
Cumulative Update for Windows Server 2016 for x64-based Systems (KB4010672),"Jan. 30, 2017",Security,Office Productivity
Cumulative Update for Windows 10 for x64-based Systems (KB3216755),1607,Security,Office Productivity
Cumulative Update for Windows 10 Version 1607 (KB3216755),"Jan. 26., 2017",Security,Office Productivity
SQL Server 2014 Service Pack 2 Cumulative Update (CU) 3 KB3204388,"Jan. 25, 2017",Security,Database Tools
Microsoft SQL Server 2012 SP2 Cumulative Update (CU) 14 KB3180914,"Jan. 24, 2017",Security,Database Tools
SQL Server 2016 RTM Cumulative Update (CU) 3 KB3205413,"Jan. 21, 2017",Security,Database Tools
Microsoft SQL Server 2016 RTM Cumulative Update (CU) 2 KB3182270,"Jan. 21, 2017",Security,Database Tools
Security Update for Adobe Flash Player for Windows Embedded 8 Standard (KB3214628),"Jan. 8, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows Embedded 8 Standard for x64-based Systems (KB3214628),"Jan. 8, 2017",Security,Data Science Tools
Security Update for Adobe Flash Player for Windows Server 2016 (for x64-based Systems) (KB3214628),"Jan. 7, 2017",Security,Data Science Tools
Cumulative Update for Windows Server 2016 for x64-based Systems (KB3213986),"Jan. 6, 2017",Security,Office Productivity
Intuit Turbo Tax Deluxe Federal & State Returns 2016,2016,Tax,Office Productivity
Windows 10 (Multiple Editions) (x86),1607,Operating System,System Administration Tools
Windows 10 (Multiple Editions) ,1607,Operating System,System Administration Tools
Windows 10 (Multiple Editions),1607,Operating System,System Administration Tools
Windows 10 N (Multiple Editions) (x64),1607,Operating System,System Administration Tools
Windows 10 N (Multiple Editions) (x86),1607,Operating System,System Administration Tools
Windows 10 Enterprise (x64),1607,Operating System,System Administration Tools
Windows 10 Enterprise (x86),1607,Operating System,System Administration Tools
Windows 10 Enterprise N (x64),1607,Operating System,System Administration Tools
Windows 10 Enterprise N (x86),1607,Operating System,System Administration Tools
Windows Server 2016 Essentials,"Jan. 11, 2017",Operating System,System Administration Tools
Windows Storage Server 2016 x64,"Jan. 11, 2017",Operating System,System Administration Tools
Microsoft Hyper-V Server 2016 x64,"Jan. 11, 2017",Operating System,Virtualization Tools
Windows Server 2016 ,"Jan. 11, 2017",Operating System,System Administration Tools
Windows Server 2016,"Jan. 11, 2017",Operating System,System Administration Tools
Windows Server 2016 Language Pack,"Oct. 11, 2016",Operating System,System Administration Tools
"Windows 10 IoT Core, Version 1607 x64","Aug. 22, 2016",Operating System,System Administration Tools
"Windows 10 IoT Core, Version 1607 x86","Aug. 22, 2017",Operating System,System Administration Tools
Windows 10 Enterprise 2016 LTSB x64,"Aug. 10, 2016",Operating System,System Administration Tools
Windows 10 Enterprise 2016 LTSB x86,"Aug. 10, 2016",Operating System,System Administration Tools
Windows 10 Enterprise,2016 LTSB,Operating System,System Administration Tools
Windows 10 Enterprise 2016 LTSB x86,1607,Operating System,System Administration Tools
Windows 10 Enterprise 2016 LTSB N x64,1607,Operating System,System Administration Tools
Windows 10 Enterprise 2016 LTSB N x86,1607,Operating System,System Administration Tools
Windows 10 Language Pack x64,1607,Operating System,System Administration Tools
Windows 10 Language Pack x86,1607,Operating System,System Administration Tools
Windows 10 Education x64,1607,Operating System,System Administration Tools
Windows 10 Education x86,1607,Operating System,System Administration Tools
Windows 10 Features on Demand x64,1607,Operating System,System Administration Tools
Windows 10 Features on Demand x86,1607,Operating System,System Administration Tools
Windows 10 Education N x64,1607,Operating System,System Administration Tools
Windows 10 Education N x86,1607,Operating System,System Administration Tools
Windows 10 Enterprise N (x64),1511,Operating System,System Administration Tools
Windows 10 Enterprise N (x86),1511,Operating System,System Administration Tools
Windows 10 Enterprise (x64),1511,Operating System,System Administration Tools
Windows 10 Enterprise (x86),1511,Operating System,System Administration Tools
Windows 10 N (Multiple Editions) (x64),1511,Operating System,System Administration Tools
Windows 10 N (Multiple Editions) (x86),1511,Operating System,System Administration Tools
Windows 10 (Multiple Editions) (x64),1511,Operating System,System Administration Tools
Windows 10 (Multiple Editions) (x86),1511,Operating System,System Administration Tools
Windows 10 Education N x64,1511,Operating System,System Administration Tools
Windows 10 Education N x86,1511,Operating System,System Administration Tools
Dragon Premium,13.0,Language tutorial,Educational Software
Quickbooks Premier Small Business Accounting Software with Industry Editions,2016,Accounting,Financial Software
Music Maker Live,2016,Audio Editing,Office Productivity
Drivers and Documentation Dell KB813 Smart Card Keyboard,Oct. 2015,Documentation and drivers,System Administration Tools
Drivers and Documentation Dell KB813 Smart Card Keyboard,2015,Diagnostic,System Administration Tools
Corel Painter 2016,2016,Applications,Office Productivity
CorelDraw Graphics Suite X8 Education Edition,2016,Graphic/Drawing,CAD / Engineering Tools
Corel Painter 2017,2017,Applications,Office Productivity
Corel Painter Education Edition,2016,Graphic/Drawing,CAD / Engineering Tools
Home Designer 2017,c. 2016,Home Design,CAD / Engineering Tools
CorelDraw Home & Student Suite,X8,Design,Educational Software
CorelCAD Education Edition,2017,Design and drafting,CAD / Engineering Tools
Movie Edit Pro ,2016,video editing,Office Productivity
FL Studio Producer Edition,12.4.1,Audio Editing,Office Productivity
Slack for Windows 32-bit,2.5.1,Operating System,Communication Tools
Slack for Windows 64-bit,2.5.1,Operating System,Communication Tools
Slack for Windows Beta 32-bit,2.5.1,Operating System,Communication Tools
Slack for Windows Beta 64-bit,2.5.1,Operating System,Communication Tools
LoJack for Laptops Premium Edition,2012,Security tool,Office Productivity
Windows 10 Pro 64-bit,2015,Operating System,System Administration Tools
AlphaCard ID Suite Photo ID software v11,11,Card making,CAD / Engineering Tools
Home Designer 2017,2016,Design,CAD / Engineering Tools
Call of duty Infinite Warfare,2016,Game,Kiosk / Public Access Software
